124	Poliwag	1213	283	198	178	178	278
125	Clefairy	1209	343	188	194	218	168
126	Abra	1203	253	138	128	308	278
127	Oddish	1203	293	198	208	248	158
128	Psyduck	1203	303	202	194	198	208
129	Bulbasaur	1199	293	196	196	228	188
130	Dratini	1193	285	226	188	198	198
131	Meowth	1193	283	188	168	178	278
132	Squirtle	1193	291	194	228	198	184
133	Venonat	1193	323	208	198	178	188
134	Charmander	1191	281	202	184	198	228
135	Vulpix	1191	279	180	178	228	228
136	Ditto	1173	299	194	194	194	194
137	Paras	1173	273	238	208	208	148
138	NidoranF	1163	313	192	202	178	180
139	Ekans	1161	273	218	186	178	208
140	NidoranM	1159	295	212	178	178	198
141	Spearow	1155	283	218	158	160	238
142	Diglett	1153	223	208	148	188	288
143	Jigglypuff	1143	433	188	138	148	138
144	Rattata	1129	263	210	168	148	242
145	Pidgey	1125	283	188	178	168	210
146	Zubat	1123	283	188	168	178	208
147	Magikarp	1063	243	118	208	138	258
148	Kakuna	1053	293	148	198	148	168
149	Metapod	1053	303	138	208	148	158
150	Caterpie	1043	293	158	168	138	188
151	Weedle	1043	283	168	158	138	198
